id,parent_id/id,code,type,name,reconcile,user_type/id
md_acc_21300,md_acc_21000,21300,View,Obiecte de mică valoare şi scurtă durată,TRUE,account.data_account_type_view
md_acc_21310,md_acc_21300,21310,Regular,Obiecte de mică valoare şi scurtă durată în stoc,TRUE,account.data_account_type_asset
md_acc_21320,md_acc_21300,21320,Regular,Obiecte de mică valoare şi scurtă durată în exploatare,TRUE,account.data_account_type_asset
md_acc_21330,md_acc_21300,21330,Regular,Construcţii şi dispozitive provizorii,TRUE,account.data_account_type_asset
md_acc_21340,md_acc_21300,21340,Regular,Obiecte de mică valoare şi scurtă durată transmise temporar terţilor,TRUE,account.data_account_type_asset
md_acc_21400,md_acc_21000,21400,View,Uzura obiectelor de mică valoare şi scurtă durată,TRUE,account.data_account_type_view
md_acc_21410,md_acc_21400,21410,Regular,Uzura obiectelor de mică valoare şi scurtă durată,TRUE,account.data_account_type_asset
md_acc_21420,md_acc_21400,21420,Regular,Uzura construcţiilor şi dispozitivelor provizorii ,TRUE,account.data_account_type_asset
md_acc_21500,md_acc_21000,21500,View,Producţia în curs de execuţie,TRUE,account.data_account_type_view
md_acc_21510,md_acc_21500,21510,Regular,Produse în curs de execuţie,TRUE,account.data_account_type_asset
md_acc_21520,md_acc_21500,21520,Regular,Servicii în curs de execuţie,TRUE,account.data_account_type_asset
md_acc_21530,md_acc_21500,21530,Regular,Lucrări în curs de execuţie,TRUE,account.data_account_type_asset
md_acc_21600,md_acc_21000,21600,View,Produse,TRUE,account.data_account_type_view
md_acc_21610,md_acc_21600,21610,Regular,Produse finite,TRUE,account.data_account_type_asset
md_acc_21620,md_acc_21600,21620,Regular,Semifabricate din producţie proprie,TRUE,account.data_account_type_asset
md_acc_21630,md_acc_21600,21630,Regular,Produse secundare,TRUE,account.data_account_type_asset
md_acc_21640,md_acc_21600,21640,Regular,Produse transmise temporar terţilor,TRUE,account.data_account_type_asset
md_acc_21700,md_acc_21000,21700,View,Mărfuri,TRUE,account.data_account_type_view
md_acc_21710,md_acc_21700,21710,Regular,Bunuri procurate în vederea revînzării,TRUE,account.data_account_type_asset
md_acc_21720,md_acc_21700,21720,Regular,Produse transmise spre vînzare magazinelor proprii,TRUE,account.data_account_type_asset
md_acc_21730,md_acc_21700,21730,Regular,Bunuri imobiliare deţinute pentru vînzare,TRUE,account.data_account_type_asset
md_acc_21740,md_acc_21700,21740,Regular,Mărfuri transmise temporar terţilor,TRUE,account.data_account_type_asset
md_acc_22000,md_acc_20000,22000,View,CREANŢE COMERCIALE ŞI CALCULATE,TRUE,account.data_account_type_view
md_acc_22100,md_acc_22000,22100,View,Creanţe comerciale ,TRUE,account.data_account_type_receivable
md_acc_22110,md_acc_22100,22110,Regular,Creanţe comerciale din ţară,TRUE,account.data_account_type_receivable
md_acc_22120,md_acc_22100,22120,Regular,Creanţe comerciale din străinătate ,TRUE,account.data_account_type_receivable
md_acc_22130,md_acc_22100,22130,Regular,Alte creanţe comerciale,TRUE,account.data_account_type_receivable
md_acc_22200,md_acc_22000,22200,Regular,Corecţii (provizioane) privind creanţele compromise,TRUE,account.data_account_type_receivable
md_acc_22300,md_acc_22000,22300,View,Creanţe ale părţilor afiliate,TRUE,account.data_account_type_view
md_acc_22310,md_acc_22300,22310,Regular,Creanţe ale părţilor afiliate din ţară,TRUE,account.data_account_type_receivable
md_acc_22320,md_acc_22300,22320,Regular,Creanţe ale părţilor afiliate din străinătate ,TRUE,account.data_account_type_receivable
md_acc_22330,md_acc_22300,22330,Regular,Alte creanţe ale părţilor afiliate,TRUE,account.data_account_type_receivable
md_acc_22400,md_acc_22000,22400,View,Avansuri acordate curente,TRUE,account.data_account_type_view
md_acc_22410,md_acc_22400,22410,Regular,Avansuri acordate în ţară,TRUE,account.data_account_type_receivable
md_acc_22420,md_acc_22400,22420,Regular,Avansuri acordate în străinătate,TRUE,account.data_account_type_receivable
md_acc_22500,md_acc_22000,22500,View,Creanţe ale bugetului,TRUE,account.data_account_type_view
md_acc_22510,md_acc_22500,22510,Regular,Creanţe privind impozitul pe venit ,TRUE,account.data_account_type_receivable
md_acc_22520,md_acc_22500,22520,Regular,Creanţe privind taxa pe valoarea adăugată ,TRUE,account.data_account_type_receivable
md_acc_22530,md_acc_22500,22530,Regular,Creanţe privind accizele,TRUE,account.data_account_type_receivable
md_acc_22540,md_acc_22500,22540,Regular,Creanţe privind alte impozite şi taxe,TRUE,account.data_account_type_receivable
md_acc_22550,md_acc_22500,22550,Regular,Alte creanţe ale bugetului,TRUE,account.data_account_type_receivable
md_acc_22600,md_acc_22000,22600,View,Creanţe ale personalului,TRUE,account.data_account_type_view
md_acc_22610,md_acc_22600,22610,Regular,Creanţe ale titularilor de avans,TRUE,account.data_account_type_receivable
md_acc_22620,md_acc_22600,22620,Regular,Creanţe privind recuperarea prejudiciului material,TRUE,account.data_account_type_receivable
md_acc_22630,md_acc_22600,22630,Regular,Creanţe privind împrumuturile acordate personalului ,TRUE,account.data_account_type_receivable
md_acc_22640,md_acc_22600,22640,Regular,Alte creanţe ale personalului,TRUE,account.data_account_type_receivable
md_acc_23000,md_acc_20000,23000,View,ALTE CREANŢE CURENTE,TRUE,account.data_account_type_view
md_acc_23100,md_acc_23000,23100,View,Creanţe privind veniturile din utilizarea de către terţi a activelor entităţii,TRUE,account.data_account_type_receivable
